test,status,stage
mixed-allcpp1-hello,PASS,compile
mixed-as-for-variant-20-types,FAIL,transpile
mixed-autodiff-taylor,FAIL,transpile
mixed-bounds-check,FAIL,transpile
mixed-bounds-safety-with-assert-2,FAIL,transpile
mixed-bounds-safety-with-assert,FAIL,transpile
mixed-bugfix-for-cpp2-comment-cpp1-sequence,FAIL,transpile
mixed-bugfix-for-double-pound-else-error,SKIP,error-test
mixed-bugfix-for-literal-as-nttp,FAIL,transpile
mixed-bugfix-for-ufcs-non-local,FAIL,transpile
mixed-captures-in-expressions-and-postconditions,FAIL,transpile
mixed-default-arguments,FAIL,transpile
mixed-fixed-type-aliases,FAIL,transpile
mixed-float-literals,FAIL,transpile
mixed-forwarding,FAIL,transpile
mixed-function-expression-and-std-for-each,FAIL,transpile
mixed-function-expression-and-std-ranges-for-each-with-capture,FAIL,transpile
mixed-function-expression-and-std-ranges-for-each,FAIL,transpile
mixed-function-expression-with-pointer-capture,FAIL,transpile
mixed-function-expression-with-repeated-capture,FAIL,transpile
mixed-hello,PASS,compile
mixed-increment-decrement,FAIL,transpile
mixed-initialization-safety-1-error,SKIP,error-test
mixed-initialization-safety-2-error,SKIP,error-test
mixed-initialization-safety-3-contract-violation,FAIL,transpile
mixed-initialization-safety-3,FAIL,transpile
mixed-inspect-templates,FAIL,transpile
mixed-inspect-values-2,FAIL,transpile
mixed-inspect-values,FAIL,transpile
mixed-inspect-with-typeof-of-template-arg-list,FAIL,transpile
mixed-intro-example-three-loops,PASS,compile
mixed-intro-for-with-counter-include-last,FAIL,transpile
mixed-is-as-value-with-variant,FAIL,transpile
mixed-is-as-variant,FAIL,transpile
mixed-lifetime-safety-and-null-contracts,FAIL,transpile
mixed-lifetime-safety-pointer-init-1-error,SKIP,error-test
mixed-lifetime-safety-pointer-init-2-error,SKIP,error-test
mixed-lifetime-safety-pointer-init-3-error,SKIP,error-test
mixed-lifetime-safety-pointer-init-4,FAIL,transpile
mixed-multiple-return-values,FAIL,transpile
mixed-out-destruction,FAIL,transpile
mixed-parameter-passing-generic-out,FAIL,transpile
mixed-parameter-passing-with-forward,FAIL,transpile
mixed-parameter-passing,FAIL,transpile
mixed-postexpression-with-capture,FAIL,transpile
mixed-postfix-expression-custom-formatting,FAIL,transpile
mixed-string-interpolation,FAIL,transpile
mixed-test-parens,FAIL,transpile
mixed-type-safety-1,FAIL,transpile
mixed-ufcs-multiple-template-arguments,FAIL,transpile
pure2-assert-expected-not-null,FAIL,transpile
pure2-assert-optional-not-null,FAIL,transpile
pure2-assert-shared-ptr-not-null,FAIL,transpile
pure2-assert-unique-ptr-not-null,FAIL,transpile
pure2-autodiff-higher-order,FAIL,transpile
pure2-autodiff,FAIL,transpile
pure2-bounds-safety-pointer-arithmetic-error,SKIP,error-test
pure2-bounds-safety-span,FAIL,transpile
pure2-break-continue,FAIL,transpile
pure2-bugfix-for-assert-capture-error,SKIP,error-test
pure2-bugfix-for-assign-expression-list,FAIL,transpile
pure2-bugfix-for-bad-capture-error,SKIP,error-test
pure2-bugfix-for-bad-decltype-error,SKIP,error-test
pure2-bugfix-for-bad-parameter-error,SKIP,error-test
pure2-bugfix-for-bad-using-error,SKIP,error-test
pure2-bugfix-for-declaration-equal-error,SKIP,error-test
pure2-bugfix-for-discard-precedence,FAIL,transpile
pure2-bugfix-for-functions-before-superclasses-error,SKIP,error-test
pure2-bugfix-for-indexed-call,FAIL,transpile
pure2-bugfix-for-invalid-alias-error,SKIP,error-test
pure2-bugfix-for-late-comments,FAIL,transpile
pure2-bugfix-for-max-munch,FAIL,transpile
pure2-bugfix-for-memberwise-base-assignment,FAIL,transpile
pure2-bugfix-for-naked-unsigned-char-error,SKIP,error-test
pure2-bugfix-for-name-lookup-and-value-decoration,FAIL,transpile
pure2-bugfix-for-namespace-error,SKIP,error-test
pure2-bugfix-for-non-local-function-expression,PASS,compile
pure2-bugfix-for-non-local-initialization,FAIL,transpile
pure2-bugfix-for-optional-template-argument-list,FAIL,transpile
pure2-bugfix-for-out-this-nonconstructor-error,SKIP,error-test
pure2-bugfix-for-requires-clause-in-forward-declaration,FAIL,transpile
pure2-bugfix-for-requires-clause-unbraced-function-initializer,FAIL,transpile
pure2-bugfix-for-template-argument,FAIL,transpile
pure2-bugfix-for-ufcs-arguments,FAIL,transpile
pure2-bugfix-for-ufcs-name-lookup,FAIL,transpile
pure2-bugfix-for-ufcs-noexcept,FAIL,transpile
pure2-bugfix-for-ufcs-sfinae,FAIL,transpile
pure2-bugfix-for-unbraced-function-expression,FAIL,transpile
pure2-bugfix-for-variable-template,PASS,compile
pure2-chained-comparisons,FAIL,transpile
pure2-concept-definition,FAIL,transpile
pure2-contracts,FAIL,transpile
pure2-cpp1-multitoken-fundamental-types-error,SKIP,error-test
pure2-cpp1-prefix-expression-error,SKIP,error-test
pure2-deducing-pointers-error,SKIP,error-test
pure2-deduction-1-error,SKIP,error-test
pure2-deduction-2-error,SKIP,error-test
pure2-default-arguments,FAIL,transpile
pure2-defaulted-comparisons-and-final-types,FAIL,transpile
pure2-enum,FAIL,transpile
pure2-expected-is-as,FAIL,transpile
pure2-for-loop-range-with-lambda,FAIL,transpile
pure2-forward-return-diagnostics-error,SKIP,error-test
pure2-forward-return,FAIL,transpile
pure2-function-body-reflection,FAIL,transpile
pure2-function-multiple-forward-arguments,FAIL,transpile
pure2-function-single-expression-body-default-return,FAIL,transpile
pure2-function-typeids,FAIL,transpile
pure2-hashable,FAIL,transpile
pure2-hello,FAIL,transpile
pure2-initialization-loop-2-error,SKIP,error-test
pure2-initialization-loop-error,SKIP,error-test
pure2-initialization-safety-with-else-if,FAIL,transpile
pure2-inspect-expression-in-generic-function-multiple-types,FAIL,transpile
pure2-inspect-expression-with-as-in-generic-function,FAIL,transpile
pure2-inspect-fallback-with-variant-any-optional,FAIL,transpile
pure2-inspect-generic-void-empty-with-variant-any-optional,FAIL,transpile
pure2-interpolation,FAIL,transpile
pure2-intro-example-hello-2022,FAIL,transpile
pure2-intro-example-three-loops,FAIL,transpile
pure2-is-with-free-functions-predicate,FAIL,transpile
pure2-is-with-polymorphic-types,FAIL,transpile
pure2-is-with-unnamed-predicates,FAIL,transpile
pure2-is-with-variable-and-value,FAIL,transpile
pure2-last-use,FAIL,transpile
pure2-lifetime-safety-pointer-init-1-error,SKIP,error-test
pure2-lifetime-safety-reject-null-error,SKIP,error-test
pure2-look-up-parameter-across-unnamed-function,FAIL,transpile
pure2-main-args,FAIL,transpile
pure2-more-wildcards,FAIL,transpile
pure2-print,FAIL,transpile
pure2-range-operators,FAIL,transpile
pure2-raw-string-literal-and-interpolation,FAIL,transpile
pure2-regex_01_char_matcher,FAIL,transpile
pure2-regex_02_ranges,FAIL,transpile
pure2-regex_03_wildcard,FAIL,transpile
pure2-regex_04_start_end,FAIL,transpile
pure2-regex_05_classes,FAIL,transpile
pure2-regex_06_boundaries,FAIL,transpile
pure2-regex_07_short_classes,FAIL,transpile
pure2-regex_08_alternatives,FAIL,transpile
pure2-regex_09_groups,FAIL,transpile
pure2-regex_10_escapes,FAIL,transpile
pure2-regex_11_group_references,FAIL,transpile
pure2-regex_12_case_insensitive,FAIL,transpile
pure2-regex_13_possessive_modifier,FAIL,transpile
pure2-regex_14_multiline_modifier,FAIL,transpile
pure2-regex_15_group_modifiers,FAIL,transpile
pure2-regex_16_perl_syntax_modifier,FAIL,transpile
pure2-regex_17_comments,FAIL,transpile
pure2-regex_18_branch_reset,FAIL,transpile
pure2-regex_19_lookahead,FAIL,transpile
pure2-regex_20_lookbehind,FAIL,transpile
pure2-regex_21_atomic_patterns,FAIL,transpile
pure2-regex-general,FAIL,transpile
pure2-repeated-call,FAIL,transpile
pure2-requires-clauses,FAIL,transpile
pure2-return-tuple-no-identifier-error,SKIP,error-test
pure2-return-tuple-no-type-error,SKIP,error-test
pure2-return-tuple-operator,FAIL,transpile
pure2-statement-parse-error,SKIP,error-test
pure2-statement-scope-parameters,FAIL,transpile
pure2-stdio-with-raii,FAIL,transpile
pure2-stdio,FAIL,transpile
pure2-synthesize-rightshift-and-rightshifteq,FAIL,transpile
pure2-template-parameter-lists,FAIL,transpile
pure2-trailing-comma-assert,FAIL,transpile
pure2-trailing-commas,FAIL,transpile
pure2-try-catch,FAIL,transpile
pure2-type-and-namespace-aliases,FAIL,transpile
pure2-type-constraints,FAIL,transpile
pure2-type-safety-1,FAIL,transpile
pure2-type-safety-2-with-inspect-expression,FAIL,transpile
pure2-types-basics,FAIL,transpile
pure2-types-down-upcast,FAIL,transpile
pure2-types-inheritance,FAIL,transpile
pure2-types-order-independence-and-nesting,FAIL,transpile
pure2-types-ordering-via-meta-functions,FAIL,transpile
pure2-types-smf-and-that-1-provide-everything,FAIL,transpile
pure2-types-smf-and-that-2-provide-mvconstruct-and-cpassign,FAIL,transpile
pure2-types-smf-and-that-3-provide-mvconstruct-and-mvassign,FAIL,transpile
pure2-types-smf-and-that-4-provide-cpassign-and-mvassign,FAIL,transpile
pure2-types-smf-and-that-5-provide-nothing-but-general-case,FAIL,transpile
pure2-types-that-parameters,FAIL,transpile
pure2-types-value-types-via-meta-functions,FAIL,transpile
pure2-ufcs-member-access-and-chaining,FAIL,transpile
pure2-union,FAIL,transpile
pure2-unsafe,FAIL,transpile
pure2-variadics,FAIL,transpile
pure2-various-string-literals,FAIL,transpile
